tconst	directors	writers
tconst	directors	writers
tt0000001	nm0005690	\N
tt0000002	nm0721526	\N
tt0000003	nm0721526	\N
tt0000004	nm0721526	\N
tt0000005	nm0005690	\N
tt0000006	nm0005690	\N
tt0000007	nm0374658,nm0005690	\N
tt0000008	nm0005690	\N
tt0000009	nm0085156	nm0085156
tt0000010	nm0525910	\N
tt0000011	nm0804434	\N
tt0000012	nm0525910,nm0525908	\N
tt0000013	nm0525910	\N
tt0000014	nm0525910	\N
tt0000015	nm0721526	\N
tt0000016	nm0525910	\N
tt0000017	nm1587194,nm0804434	\N
tt0000018	nm0804434	\N
tt0000019	nm0932055	\N
tt0000020	nm0010291	\N
tt0000022	nm0525910	\N
tt0000023	nm0525910	\N
tt0000024	nm0010291	\N
tt0000025	nm0010291	\N
tt0000026	nm0525910	\N
tt0000027	nm0525910	\N
tt0000028	nm0525910	\N
tt0000029	nm0525910	\N
tt0000030	nm0010291,nm0666972	\N
tt0000031	nm0525910	\N
tt0000032	nm0804434	\N
tt0000033	nm0525910	\N
tt0000034	nm0617588	\N
tt0000035	nm0617588	\N
tt0000036	nm0005690	nm0410331
tt0000037	nm0617588	\N
tt0000038	nm0374658	\N
tt0000039	\N	\N
tt0000040	nm0617588	\N
tt0000041	nm0525910	\N
tt0000042	nm0617588	\N
tt0000043	nm0617588	\N
tt0000044	nm0617588	\N
tt0000045	nm0617588	\N
tt0000046	nm0617588	\N
tt0000047	nm0617588	\N
tt0000048	nm0010291	\N
tt0000049	nm0010291	\N
tt0000050	nm0617588	\N
tt0000051	nm0617588	\N
tt0000052	nm0895515	\N
tt0000053	nm0684607	\N
tt0000054	nm0617588	\N
tt0000055	nm0617588	\N
tt0000056	nm0795060	\N
tt0000057	nm0617588	\N
tt0000058	nm0617588	\N
tt0000059	nm0617588	\N
tt0000060	nm0005690	\N
tt0000061	nm0010291	\N
tt0000062	nm0617588	\N
tt0000063	nm0617588	\N
tt0000064	nm0617588	\N
tt0000065	nm0617588	\N
tt0000066	nm0617588	\N
tt0000067	nm0617588	\N
tt0000068	nm0617588	\N
tt0000069	nm0617588	\N
tt0000070	nm0525910	\N
tt0000071	nm0617588	\N
tt0000072	nm0617588	\N
tt0000073	nm0617588	\N
tt0000074	nm0617588	\N
tt0000075	nm0617588	\N
tt0000076	nm0005690	nm0410331
tt0000077	nm0617588	\N
tt0000078	nm0234288	\N
tt0000079	nm0617588	\N
tt0000080	nm0617588	\N
tt0000081	nm0617588	\N
tt0000082	nm0005690	\N
tt0000083	nm0617588	\N
tt0000084	nm0617588	\N
tt0000085	nm0617588	\N
tt0000086	nm0617588	\N
tt0000087	nm0617588	\N
tt0000088	nm0617588	\N
tt0000089	nm0525908,nm0698645	\N
tt0000090	nm0617588	\N
tt0000091	nm0617588	nm0617588
tt0000092	nm0617588	\N
tt0000093	nm0525908,nm0525910	\N
tt0000094	nm0617588	\N
tt0000095	nm0617588	\N
tt0000096	nm0617588	\N
tt0000097	nm0617588	\N
tt0000098	nm0617588	\N
tt0000099	nm0617588	\N
tt0000100	nm0617588	\N
