nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm2540000	Brett Ellis	\N	\N	miscellaneous	tt0904116
nm2540001	Sachin Dawande	\N	\N	camera_department,miscellaneous	tt1269776,tt6916348,tt0461936,tt1239276
nm2540002	Régnal	\N	\N	actor	tt0953613
nm2540003	Gene Kindred	\N	\N	miscellaneous	tt0411024
nm2540004	Stephen M. Thomas	\N	\N	miscellaneous	tt0955215
nm2540005	Fred Deturris	\N	\N	music_department	tt0486531
nm2540006	Bill Dewar	\N	\N	actor	tt0913375
nm2540007	Francis Ricafort	\N	\N	actor	tt1829903,tt21106144,tt0347573
nm2540008	Bryan Codi	\N	\N		tt0362058
nm2540009	Shûzô Matsuoka	1967	\N	actor	tt9140852,tt12853970,tt0397127,tt0477511
nm2540010	Mie Saijo	\N	\N	actress	tt1198150,tt0956237
nm2540011	Joseph Cresto	\N	\N		\N
nm2540012	Mette K. Madsen	\N	\N	actress	tt0826760,tt5668850,tt0220261,tt13859642
nm2540013	Renaud Ziegler	\N	\N	miscellaneous	tt0934446
nm2540014	Ole Kühling	\N	\N	actor	tt0956168
nm2540015	Roger Gubbins	\N	\N	location_management	tt0083402
nm2540016	Retno Ratih Damayanti	\N	\N	costume_department,costume_designer,make_up_department	tt8900302,tt3000686,tt2589132,tt10540024
nm2540017	Yoshihiro Fujikawa	\N	\N	miscellaneous	tt0403835
nm2540018	Jay Miller	\N	\N		tt0810856
nm2540019	Neil Landstrumm	\N	\N	art_department	tt0255202
nm2540020	Matt Hutchinson	\N	\N	actor	tt0094416
nm2540021	Sabine Poussaint	\N	\N	stunts	tt0953346
nm2540022	Vanessa T. Nguyen	\N	\N	actress	tt0877357,tt0944080
nm2540023	Phillip S. Brown	\N	\N	miscellaneous,actor,writer	tt4979060,tt0300865,tt4392566
nm2540024	Hennie Scheper	\N	\N	actor	tt0116759
nm2540025	Eric Corely	\N	\N	sound_department	tt0283952
nm2540026	Guillermo de la Guardia	\N	\N	writer	tt0955321
nm2540027	Miredys Peguero	\N	\N	actress,soundtrack	tt2693776,tt0426883,tt0200353
nm2540028	Achille Rubayi	\N	\N	assistant_director,miscellaneous	tt5296406,tt0420901,tt1386697,tt1234721
nm2540029	Luciane Fritsch	\N	\N	actress	tt0954352
nm2540030	Gábor Tengely	\N	\N	actor	tt0369006
nm2540031	Gil Webster	\N	\N	actor	tt1158317,tt0954973,tt1603930
nm2540032	Christopher Meydrich	1980	\N	camera_department,miscellaneous,transportation_department	tt0369610,tt1340138,tt1133985,tt2250912
nm2540033	Raksha Dave	\N	\N		tt9553078,tt11657912,tt9199168,tt21970944
nm2540034	Renato Parara	\N	\N	actor	tt0478978,tt2343380,tt6363696,tt7415596
nm2540036	Dan Lamatsch	\N	\N	editor,editorial_department	tt0383761,tt1376473,tt0420420,tt0954316
nm2540037	Laurence Bonnin	\N	\N	miscellaneous,animation_department	tt0090667,tt0088748,tt0086964,tt0096842
nm2540038	Majd Abu-Hussein	\N	\N		tt0954938
nm2540039	Joseph Pipher	\N	\N	producer,director,writer	tt0476651,tt0954989,tt6066588
nm2540040	Sarah Newberry	\N	\N	director,producer,miscellaneous	tt6056430,tt6688090,tt6000406,tt1458233
nm2540041	Jean-Yves Chauve	\N	\N		tt0377354,tt2173023
nm2540042	Willem Denys	\N	\N	writer	tt0958102,tt0958166
nm2540043	Mahesh Raj	\N	\N	writer,producer	tt0355638,tt0404399
nm2540044	Cliff Lewis	\N	\N	writer	tt9043224
nm2540045	Atsushi Ogawa	\N	\N	animation_department,art_department	tt0217000
nm2540046	Brian Lynch	\N	\N	producer,production_manager,miscellaneous	tt4116284,tt5117670,tt8912936,tt0377981
nm2540047	Maiju Saariniemi	\N	\N	editorial_department	tt1630061,tt1604577,tt1404661,tt0808486
nm2540048	Tim Bradley	\N	\N	actor	tt4245244,tt0849441
nm2540050	Jack Clark	\N	\N	director	tt0953592
