nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm2730000	Mary Louise Lowe	\N	\N	miscellaneous	tt0053848
nm2730001	Michael Sun Kelly	\N	\N	actor	tt0914823
nm2730002	Kenji Kobayashi	\N	\N	producer,director,writer	tt1791436,tt5230488,tt12234014,tt10031542
nm2730003	Dustin White	\N	\N	sound_department	tt0430768
nm2730004	Kate Singleton	\N	\N	miscellaneous	tt0892109
nm2730005	Sue Chang	\N	\N	actress	tt1074199
nm2730007	Paul Ubana Jones	\N	\N	composer	tt1003014,tt12498014
nm2730009	Bill Moore	\N	\N		tt1075762
nm2730010	Ian Kennedy	\N	\N	miscellaneous	tt1229946
nm2730011	Alan Stein	\N	\N	actor	tt1065093
nm2730012	Sam Wang	\N	\N	sound_department,visual_effects	tt4276752,tt1156506,tt0425637,tt0992911
nm2730013	Marc Grossman	\N	\N		tt1216644
nm2730014	Ruth Elliott	\N	\N	actress	tt1294212,tt0430768
nm2730018	Michael Lohan	\N	\N		tt0391687
nm2730019	William Lee White	\N	\N	actor	tt0115097,tt0254102,tt0275265
nm2730021	Michael Fellows	\N	\N	special_effects	tt0387505
nm2730022	Blake Levin	\N	\N	miscellaneous	tt1566015,tt0251497
nm2730024	Saturna	\N	\N	costume_designer,costume_department	tt3589172,tt15063296,tt1414420,tt8337662
nm2730025	Justine Smith	\N	\N	director,writer,cinematographer	tt3633060,tt1077241,tt1095475,tt3569960
nm2730026	Greg McDonald	\N	\N	miscellaneous	tt0475201
nm2730027	Elizabeth Lauber	\N	\N		tt0489037
nm2730028	Kurt Lange	\N	\N	sound_department	tt1313006,tt0352629,tt0181920,tt0331230
nm2730029	Selina Lee	\N	\N	miscellaneous	tt0845464
nm2730030	Bart Smith	\N	\N		\N
nm2730031	Brenda Barnell	\N	\N		\N
nm2730032	David Arnold	\N	\N	sound_department	tt0476327,tt0133302
nm2730034	Jonathan Gordon	\N	\N		\N
nm2730037	Ellen Wong	\N	\N	editor,producer	tt0795468
nm2730038	Margaret Lowe	\N	\N		\N
nm2730039	David Hoff	\N	\N	miscellaneous	tt1059809
nm2730040	Eric Michael Wong	\N	\N	camera_department,producer,editor	tt0892735,tt1526928,tt19862528,tt22052246
nm2730041	José Luis Larrauri	\N	\N	camera_department,director,producer	tt0373478,tt0303458,tt1505131,tt0166188
nm2730042	Toni de la Torre	\N	\N		tt0460659,tt0386155,tt2071372,tt0462143
nm2730043	Bill Welsh	\N	\N		tt0395896
nm2730044	Stephen Bennett	\N	\N	talent_agent	\N
nm2730046	John Faye	\N	\N	composer	tt0363699
nm2730047	John Faye	\N	\N	set_decorator	tt0359250
nm2730048	David B. Barrow III	\N	\N	sound_department	tt0758745
nm2730049	Jim Morris	\N	\N	camera_department	tt0073778,tt0070782,tt0072829
nm2730050	Kate Brown	\N	\N	miscellaneous	tt0463944
nm2730054	Steve Hayes	\N	\N		\N
nm2730056	Linda Smith	\N	\N	actress	tt1074961
nm2730057	Marc Gordon	\N	\N		\N
nm2730058	Ian White	\N	\N		tt0498614
nm2730059	Roberto Royo	\N	\N	actor	tt1075638
nm2730060	Chris Silagyi	\N	\N	music_department,visual_effects,sound_department	tt5434588
nm2730061	Jared Robinson	\N	\N	actor	tt1076806
nm2730063	John Tyler	\N	\N	camera_department	tt1147702
nm2730065	Miguel Chacón	\N	\N	producer	tt0270925
nm2730066	Kenteas Brine	\N	\N	producer	tt0830681
nm2730067	Marcus Wiley	\N	\N	miscellaneous,assistant_director,actor	tt6905686,tt1200263,tt10857160,tt7049682
nm2730068	Sarah Harmon	\N	\N	actress	tt1065093
nm2730069	Brian Gibson	\N	\N	producer,writer	tt1567215,tt1079124,tt8992540,tt9748306
nm2730070	Nicolás Redondo Terreros	1958	\N		tt0870874,tt1188649,tt0487296,tt0372056
nm2730071	Dorothy Edwards	\N	\N	actress	tt1934240
nm2730072	Kim Watson	\N	\N	actress	tt0866442,tt0989760
nm2730073	James Finn Garner	\N	\N	writer	tt0448964
nm2730078	Jeffrey H. Jones	\N	\N	actor	tt1220905,tt1075828
nm2730079	Jeff Pace	\N	\N	sound_department,actor,special_effects	tt8775468,tt6838918,tt3484006,tt6574272
nm2730082	David Rhodes	\N	\N		tt1024817
